model,feature,feature_value,prompt_type,raw_response,parsed,expected,correct
claude-haiku-4-5,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
claude-haiku-4-5,key_plant_type,Vines,existence,"YES

The plant type is clearly discernible in this image. The distinctive features visible include:

1. **Compound pinnate leaves** - small leaflets arranged along a central stem
2. **Pea-family flower structure (Fabaceae)** - characteristic irregular flower with petals of different sizes
3. **Purple/magenta colored flowers** - with darker colored upper petals
4. **Overall morphology** - consistent with vetch or similar legume plants

These botanical characteristics make the plant type clearly identifiable.",YES,YES,True
claude-haiku-4-5,key_plant_type,Vines,agreement,NO,NO,YES,False
claude-haiku-4-5,key_plant_type,Vines,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Vines,False
claude-haiku-4-5,key_plant_type,Shrubs,existence,"YES

The plant type is clearly discernible in this image. The distinctive palmate (hand-shaped) leaves are characteristic of a maple plant, most likely a Japanese maple or similar ornamental maple variety. The leaf shape and overall growth pattern are distinctive enough to identify the plant type.",YES,YES,True
claude-haiku-4-5,key_plant_type,Shrubs,agreement,YES,YES,YES,True
claude-haiku-4-5,key_plant_type,Shrubs,blind_mc,Shrubs,Shrubs,Shrubs,True
claude-haiku-4-5,key_leaf_type,Leaves Entire,existence,"YES

The image clearly shows the leaf type, which appears to be a simple, ovate (egg-shaped) leaf with visible veining and a hairy/fuzzy texture on the stem and leaf surface. The leaf structure and morphology are distinctly discernible.",YES,YES,True
claude-haiku-4-5,key_leaf_type,Leaves Entire,agreement,NO,NO,YES,False
claude-haiku-4-5,key_leaf_type,Leaves Entire,blind_mc,Leaves Entire,Leaves Entire,Leaves Entire,True
claude-haiku-4-5,key_leaf_type,No Apparent Leaves,existence,"YES

The plant in the image clearly displays a discernible leaf-type feature: it has **no visible leaves**. The stem is leafless, which is itself a characteristic leaf-type feature that is clearly observable in this image.",YES,YES,True
claude-haiku-4-5,key_leaf_type,No Apparent Leaves,agreement,YES,YES,YES,True
claude-haiku-4-5,key_leaf_type,No Apparent Leaves,blind_mc,No Apparent Leaves,No Apparent Leaves,No Apparent Leaves,True
claude-haiku-4-5,key_leaf_type,Leaves Toothed or Lobed,existence,"YES

The leaf type is clearly discernible in this image. The plant displays broad, ovate (egg-shaped) leaves with visible veining and what appears to be a slightly textured surface. The leaves are green and arranged alternately on the stem, making the leaf morphology and type easily identifiable.",YES,YES,True
claude-haiku-4-5,key_leaf_type,Leaves Toothed or Lobed,agreement,YES,YES,YES,True
claude-haiku-4-5,key_leaf_type,Leaves Toothed or Lobed,blind_mc,Leaves Entire,Leaves Entire,Leaves Toothed or Lobed,False
claude-haiku-4-5,key_leaf_type,Leaves Divided,existence,"YES

The leaf type is clearly discernible in this image. The plant displays compound leaves with multiple leaflets arranged along a central stem, which is a distinctive leaf characteristic that is easily identifiable in the photograph.",YES,YES,True
claude-haiku-4-5,key_leaf_type,Leaves Divided,agreement,YES,YES,YES,True
claude-haiku-4-5,key_leaf_type,Leaves Divided,blind_mc,Leaves Entire,Leaves Entire,Leaves Divided,False
gemini-3.1-pro-preview,key_flower_type,3 Regular Parts,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,3 Regular Parts,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,3 Regular Parts,blind_mc,3 Regular Parts,3 Regular Parts,3 Regular Parts,True
gemini-3.1-pro-preview,key_flower_type,4 Regular Parts,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,4 Regular Parts,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,4 Regular Parts,blind_mc,4 Regular Parts,4 Regular Parts,4 Regular Parts,True
gemini-3.1-pro-preview,key_flower_type,5 Regular Parts,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,5 Regular Parts,agreement,NO,NO,YES,False
gemini-3.1-pro-preview,key_flower_type,5 Regular Parts,blind_mc,5 Regular Parts,5 Regular Parts,5 Regular Parts,True
gemini-3.1-pro-preview,key_flower_type,6 Regular Parts,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,6 Regular Parts,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,6 Regular Parts,blind_mc,6 Regular Parts,6 Regular Parts,6 Regular Parts,True
gemini-3.1-pro-preview,key_flower_type,7 or More Regular Parts,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,7 or More Regular Parts,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,7 or More Regular Parts,blind_mc,7 or More Regular Parts,7 or More Regular Parts,7 or More Regular Parts,True
gemini-3.1-pro-preview,key_flower_type,Parts Indistinguishable,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,Parts Indistinguishable,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,Parts Indistinguishable,blind_mc,Parts Indistinguishable,Parts Indistinguishable,Parts Indistinguishable,True
gemini-3.1-pro-preview,key_flower_type,Irregular Flowers,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,Irregular Flowers,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_flower_type,Irregular Flowers,blind_mc,Irregular Flowers,Irregular Flowers,Irregular Flowers,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - Alternate Leaves,existence,NO,NO,YES,False
gemini-3.1-pro-preview,key_plant_type,Wildflowers - Alternate Leaves,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - Alternate Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - No Apparent Leaves,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - No Apparent Leaves,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - No Apparent Leaves,blind_mc,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,Wildflowers - No Apparent Leaves,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - Opposite or Whorled Leaves,blind_mc,Wildflowers - Alternate Leaves,Wildflowers - Alternate Leaves,Wildflowers - Opposite or Whorled Leaves,False
gemini-3.1-pro-preview,key_plant_type,Wildflowers - Basal Leaves Only,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - Basal Leaves Only,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Wildflowers - Basal Leaves Only,blind_mc,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,Wildflowers - Basal Leaves Only,True
gemini-3.1-pro-preview,key_plant_type,Vines,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Vines,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Vines,blind_mc,Vines,Vines,Vines,True
gemini-3.1-pro-preview,key_plant_type,Shrubs,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Shrubs,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_plant_type,Shrubs,blind_mc,Shrubs,Shrubs,Shrubs,True
gemini-3.1-pro-preview,key_leaf_type,Leaves Entire,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_leaf_type,Leaves Entire,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_leaf_type,Leaves Entire,blind_mc,Leaves Entire,Leaves Entire,Leaves Entire,True
gemini-3.1-pro-preview,key_leaf_type,No Apparent Leaves,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_leaf_type,No Apparent Leaves,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_leaf_type,No Apparent Leaves,blind_mc,No Apparent Leaves,No Apparent Leaves,No Apparent Leaves,True
gemini-3.1-pro-preview,key_leaf_type,Leaves Toothed or Lobed,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_leaf_type,Leaves Toothed or Lobed,agreement,NO,NO,YES,False
gemini-3.1-pro-preview,key_leaf_type,Leaves Toothed or Lobed,blind_mc,Leaves Entire,Leaves Entire,Leaves Toothed or Lobed,False
gemini-3.1-pro-preview,key_leaf_type,Leaves Divided,existence,YES,YES,YES,True
gemini-3.1-pro-preview,key_leaf_type,Leaves Divided,agreement,YES,YES,YES,True
gemini-3.1-pro-preview,key_leaf_type,Leaves Divided,blind_mc,Leaves Divided,Leaves Divided,Leaves Divided,True
